"product";"rep";"subject";"descriptor";"start";"score";"duration";"stop";"sequenceStart";"sequenceStop";"sequenceDuration";"stdStart";"stdDuration";"stdStop"
"C1";"1";"A01";"Crispy";8;1;6.841;15;4.011;25.358;21.347;0.32;0.27;0.59
"C1";"1";"A01";"Potato";15;1;7.598;22;4.011;25.358;21.347;0.59;0.3;0.89
"C1";"1";"A01";"Crackly_Hard";4;1;3.66;8;4.011;25.358;21.347;0.16;0.14;0.3
"C1";"1";"A01";"Roasted";22;1;3.248;25;4.011;25.358;21.347;0.87;0.13;1
"C1";"1";"A02";"Salty";7;1;6.01;13;3.769;33.061;29.292;0.21;0.18;0.39
"C1";"1";"A02";"Crackly_Hard";13;1;4.939;18;3.769;33.061;29.292;0.39;0.15;0.54
"C1";"1";"A02";"Potato";18;1;6.878;24;3.769;33.061;29.292;0.54;0.21;0.75
"C1";"1";"A02";"Crispy";4;1;2.831;7;3.769;33.061;29.292;0.12;0.09;0.21
"C1";"1";"A02";"Salty";24;1;8.634;33;3.769;33.061;29.292;0.73;0.26;0.99
"C1";"1";"A04";"Crispy";3;1;3.963;7;3.367;12.512;9.145;0.24;0.32;0.56
"C1";"1";"A04";"Bland";7;1;5.182;13;3.367;12.512;9.145;0.56;0.41;0.97
"C1";"1";"A05";"Salty";4;1;3.006;7;1.94;16.589;14.649;0.24;0.18;0.42
"C1";"1";"A05";"Crackly_Hard";2;1;1.88;4;1.94;16.589;14.649;0.12;0.11;0.23
"C1";"1";"A05";"Bland";15;1;1.469;17;1.94;16.589;14.649;0.9;0.09;0.99
"C1";"1";"A05";"Crispy";7;1;4.434;11;1.94;16.589;14.649;0.42;0.27;0.69
"C1";"1";"A05";"Potato";11;1;3.86;15;1.94;16.589;14.649;0.66;0.23;0.89
"C1";"1";"A06";"Crackly_Hard";2;1;1.912;4;1.895;14.84;12.945;0.13;0.13;0.26
"C1";"1";"A06";"Crispy";4;1;5.351;9;1.895;14.84;12.945;0.27;0.36;0.63
"C1";"1";"A06";"Bland";14;1;0.744999999999999;15;1.895;14.84;12.945;0.94;0.05;0.99
"C1";"1";"A06";"Potato";9;1;4.937;14;1.895;14.84;12.945;0.61;0.33;0.94
"C1";"1";"A07";"Crackly_Hard";1;1;1.118;3;1.452;16.507;15.055;0.06;0.07;0.13
"C1";"1";"A07";"Salty";16;1;0.546000000000001;17;1.452;16.507;15.055;0.97;0.03;1
"C1";"1";"A07";"Crispy";3;1;2.329;5;1.452;16.507;15.055;0.18;0.14;0.32
"C1";"1";"A07";"Salty";5;1;4.769;10;1.452;16.507;15.055;0.3;0.29;0.59
"C1";"1";"A07";"Melting";10;1;6.293;16;1.452;16.507;15.055;0.61;0.38;0.99
"C1";"1";"A11";"Crispy";7;1;3.825;11;1.66;12.303;10.643;0.57;0.31;0.88
"C1";"1";"A11";"Bland";11;1;1.425;12;1.66;12.303;10.643;0.89;0.12;1.01
"C1";"1";"A11";"Crackly_Hard";2;1;2.926;5;1.66;12.303;10.643;0.16;0.24;0.4
"C1";"1";"A11";"Potato";5;1;2.467;7;1.66;12.303;10.643;0.41;0.2;0.61
"C1";"1";"A12";"Crackly_Hard";6;1;3.822;10;6.007;49.461;43.454;0.12;0.08;0.2
"C1";"1";"A12";"Crispy";10;1;6.315;16;6.007;49.461;43.454;0.2;0.13;0.33
"C1";"1";"A12";"Potato";16;1;3.077;19;6.007;49.461;43.454;0.32;0.06;0.38
"C1";"1";"A12";"Fat";19;1;2.009;21;6.007;49.461;43.454;0.38;0.04;0.42
"C1";"1";"A12";"Salty";24;1;11.027;35;6.007;49.461;43.454;0.49;0.22;0.71
"C1";"1";"A12";"Sticky_Pasty";35;1;9.093;44;6.007;49.461;43.454;0.71;0.18;0.89
"C1";"1";"A12";"Salty";44;1;5.8;49;6.007;49.461;43.454;0.89;0.12;1.01
"C1";"1";"A12";"Roasted";21;1;2.311;24;6.007;49.461;43.454;0.42;0.05;0.47
"C1";"1";"A13";"Crispy";6;1;0.279;7;3.161;31.02;27.859;0.19;0.01;0.2
"C1";"1";"A13";"Crackly_Hard";3;1;3.3;6;3.161;31.02;27.859;0.1;0.11;0.21
"C1";"1";"A13";"Salty";7;1;24.28;31;3.161;31.02;27.859;0.23;0.78;1.01
"C1";"1";"A14";"Salty";11;1;9.936;21;1.423;39.315;37.892;0.28;0.25;0.53
"C1";"1";"A14";"Salty";1;1;2.264;4;1.423;39.315;37.892;0.03;0.06;0.09
"C1";"1";"A14";"Crispy";4;1;6.455;10;1.423;39.315;37.892;0.1;0.16;0.26
"C1";"1";"A14";"Potato";10;1;1.112;11;1.423;39.315;37.892;0.25;0.03;0.28
"C1";"1";"A14";"Salty";36;1;2.997;39;1.423;39.315;37.892;0.92;0.08;1
"C1";"1";"A14";"Melting";21;1;2.496;24;1.423;39.315;37.892;0.53;0.06;0.59
"C1";"1";"A14";"Salty";24;1;8.736;32;1.423;39.315;37.892;0.61;0.22;0.83
"C1";"1";"A14";"Sticky_Pasty";32;1;3.896;36;1.423;39.315;37.892;0.81;0.1;0.91
"C1";"1";"A16";"Crispy";4;1;2.69;7;4.109;34.694;30.585;0.12;0.08;0.2
"C1";"1";"A16";"Salty";12;1;6.294;18;4.109;34.694;30.585;0.35;0.18;0.53
"C1";"1";"A16";"Fat";18;1;0.846;19;4.109;34.694;30.585;0.52;0.02;0.54
"C1";"1";"A16";"Fat";7;1;0.766999999999999;8;4.109;34.694;30.585;0.2;0.02;0.22
"C1";"1";"A16";"Salty";8;1;4.37;12;4.109;34.694;30.585;0.23;0.13;0.36
"C1";"1";"A16";"Salty";31;1;0.637999999999998;32;4.109;34.694;30.585;0.89;0.02;0.91
"C1";"1";"A16";"Salty";32;1;3.084;35;4.109;34.694;30.585;0.92;0.09;1.01
"C1";"1";"A16";"Salty";19;1;1.892;21;4.109;34.694;30.585;0.55;0.05;0.6
"C1";"1";"A16";"Salty";21;1;10.004;31;4.109;34.694;30.585;0.61;0.29;0.9
"C1";"1";"A17";"Crispy";1;1;3.551;5;1.161;49.279;48.118;0.02;0.07;0.09
"C1";"1";"A17";"Salty";5;1;3.208;8;1.161;49.279;48.118;0.1;0.07;0.17
"C1";"1";"A17";"Potato";8;1;4.656;13;1.161;49.279;48.118;0.16;0.09;0.25
"C1";"1";"A17";"Melting";13;1;4.583;17;1.161;49.279;48.118;0.26;0.09;0.35
"C1";"1";"A17";"Sticky_Pasty";17;1;4.217;21;1.161;49.279;48.118;0.34;0.09;0.43
"C1";"1";"A17";"Salty";21;1;5.018;26;1.161;49.279;48.118;0.43;0.1;0.53
"C1";"1";"A17";"Potato";26;1;7.671;34;1.161;49.279;48.118;0.53;0.16;0.69
"C1";"1";"A17";"Sticky_Pasty";34;1;1.886;36;1.161;49.279;48.118;0.69;0.04;0.73
"C1";"1";"A17";"Salty";36;1;13.328;49;1.161;49.279;48.118;0.73;0.27;1
"C1";"1";"A18";"Potato";7;1;0.644;8;7.29;32.758;25.468;0.21;0.02;0.23
"C1";"1";"A18";"Salty";8;1;0.887;9;7.29;32.758;25.468;0.24;0.03;0.27
"C1";"1";"A18";"Potato";9;1;8.675;17;7.29;32.758;25.468;0.27;0.26;0.53
"C1";"1";"A18";"Fat";27;1;0.268000000000001;28;7.29;32.758;25.468;0.82;0.01;0.83
"C1";"1";"A18";"Bland";28;1;4.302;32;7.29;32.758;25.468;0.85;0.13;0.98
"C1";"1";"A18";"Fat";32;1;0.301000000000002;32;7.29;32.758;25.468;0.98;0.01;0.99
"C1";"1";"A18";"Bland";32;1;0.609999999999999;33;7.29;32.758;25.468;0.98;0.02;1
"C1";"1";"A18";"Sticky_Pasty";23;1;0.869;24;7.29;32.758;25.468;0.7;0.03;0.73
"C1";"1";"A18";"Bland";24;1;0.507999999999999;25;7.29;32.758;25.468;0.73;0.02;0.75
"C1";"1";"A18";"Fat";25;1;0.333000000000002;25;7.29;32.758;25.468;0.76;0.01;0.77
"C1";"1";"A18";"Salty";25;1;0.183;25;7.29;32.758;25.468;0.76;0.01;0.77
"C1";"1";"A18";"Roasted";25;1;0.192;26;7.29;32.758;25.468;0.76;0.01;0.77
"C1";"1";"A18";"Potato";26;1;0.198999999999998;26;7.29;32.758;25.468;0.79;0.01;0.8
"C1";"1";"A18";"Crispy";26;1;0.195999999999998;26;7.29;32.758;25.468;0.79;0.01;0.8
"C1";"1";"A18";"Bland";17;1;2.479;20;7.29;32.758;25.468;0.52;0.08;0.6
"C1";"1";"A18";"Sticky_Pasty";20;1;2.015;22;7.29;32.758;25.468;0.61;0.06;0.67
"C1";"1";"A18";"Bland";22;1;0.637;23;7.29;32.758;25.468;0.67;0.02;0.69
"C1";"1";"A18";"Sticky_Pasty";23;1;0.407;23;7.29;32.758;25.468;0.7;0.01;0.71
"C1";"1";"A18";"Bland";23;1;0.434000000000001;23;7.29;32.758;25.468;0.7;0.01;0.71
"C1";"1";"A18";"Fat";26;1;0.170000000000002;26;7.29;32.758;25.468;0.79;0.01;0.8
"C1";"1";"A18";"Sticky_Pasty";26;1;1.009;27;7.29;32.758;25.468;0.79;0.03;0.82
"C1";"1";"A19";"Potato";7;1;29.049;36;2.357;36.127;33.77;0.19;0.8;0.99
"C1";"1";"A19";"Crackly_Hard";2;1;2.105;4;2.357;36.127;33.77;0.06;0.06;0.12
"C1";"1";"A19";"Salty";4;1;2.616;7;2.357;36.127;33.77;0.11;0.07;0.18
"C1";"1";"A20";"Salty";9;1;0.936;10;1.828;41.888;40.06;0.21;0.02;0.23
"C1";"1";"A20";"Crackly_Hard";5;1;4.048;9;1.828;41.888;40.06;0.12;0.1;0.22
"C1";"1";"A20";"Salty";22;1;10.627;32;1.828;41.888;40.06;0.53;0.25;0.78
"C1";"1";"A20";"Potato";10;1;1.11;11;1.828;41.888;40.06;0.24;0.03;0.27
"C1";"1";"A20";"Fat";11;1;6.8;18;1.828;41.888;40.06;0.26;0.16;0.42
"C1";"1";"A20";"Melting";18;1;3.239;22;1.828;41.888;40.06;0.43;0.08;0.51
"C1";"1";"A20";"Crispy";2;1;3.551;5;1.828;41.888;40.06;0.05;0.08;0.13
"C1";"1";"A20";"Melting";32;1;9.749;42;1.828;41.888;40.06;0.76;0.23;0.99
"C1";"1";"A21";"Crispy";3;1;2.767;6;2.929;21.792;18.863;0.14;0.13;0.27
"C1";"1";"A21";"Salty";6;1;8.002;14;2.929;21.792;18.863;0.28;0.37;0.65
"C1";"1";"A21";"Roasted";15;1;2.951;18;2.929;21.792;18.863;0.69;0.14;0.83
