evaluation	Cocoa	Dry Fruits	Fruity	Roasted	Spicy	Woody
S002_C_1	0.416949597	0	0	0	0	0.6790322
S002_B_1	0.333469191	0	0	0	0.852199044	0
S002_A_1	0.162029536	0.162029536	0.705985834	0.034720615	0	0
S002_B_2	0.473632018	0	0	0.014801001	0.621642023	0
S002_C_2	0.382372622	0	0	0	0	0.896185833
S002_A_2	0.14996101	0.329914222	0	0	0.629836243	0
S006_C_1	0.997021245	0.17232466	0.369267128	0.098471234	0.135397947	0.246178085
S006_A_1	0.99362988	0.122502314	0.598900201	0.068056841	0.176947787	0.517231992
S006_B_1	0.59430318	0.240551287	0.283001514	0.551852952	0.254701363	0.481102574
S006_C_2	0.914322595	0.067229603	0.242026569	0.134459205	0.147905126	0.954660356
S006_B_2	0.214842551	0.076729483	0.997483273	0.138113069	0.61383586	0.04603769
S006_A_2	0.708064859	0.269064646	0.368193727	0.141612972	0.184096863	0.424838915
S001_A_1	0	0.013299287	0.997446537	0	0.385679328	0
S001_C_1	1.003302538	0.133773672	0	0.543455541	0	0
S001_B_1	0	0	0.837351269	0.121550991	0.553732291	0
S001_C_2	0.326971022	0	0	0.255446111	0	0.899170311
S001_A_2	0	0.108226572	1.001095794	0	0.662887756	0.229981466
S001_B_2	0	0.103108728	0	0	0.579986596	0.927978553
S003_B_1	0	0.25915128	0	0.06478782	0.604686319	0
S003_A_1	0.076330051	0.101773402	0.254433504	0.076330051	0.228990153	0
S003_C_1	0.46979603	0	0	0.117449008	0.097874173	0.176173511
S003_A_2	0	0	0.319943121	0	0.462140064	0.053323854
S003_B_2	0	0.055862801	0.484144275	0	0.316555872	0
S003_C_2	0.614595772	0.017559879	0	0.122919154	0.105359275	0
S005_A_1	0	0.111582236	0.892657889	0	0.781075653	0.255045111
S005_B_1	0.423998304	0.211999152	0	0.035333192	0.918662992	0
S005_C_1	0.728193763	0	0.332436283	0.20579389	0.047490898	0.680702865
S005_A_2	0	0.266007386	0.891907116	0.140827439	0.641547224	0.312949865
S005_C_2	0.524398713	0.184248196	0	0.085037629	0.552744589	0.779511601
S005_B_2	0	0.555864369	0.317636782	0	0.889382991	0
S007_B_1	0.121975391	0.289691555	0	0.121975391	0.411666946	0
S007_C_1	0.143727722	0.071863861	0.273082672	0	0	0.402437622
S007_A_1	0.05460403	0.05460403	0.855463133	0	0	0
S007_B_2	0	0.157306906	0	0.141576215	0.644958314	0
S007_A_2	0.049720735	0.082867892	0.812105342	0	0	0
S007_C_2	0.23203875	0.101516953	0.07251211	0	0	0.449575079
S004_B_1	0.029589082	0.133150867	0.436438954	0.096164515	0.532603469	0.251507194
S004_C_1	0.146503451	0.293006902	0.154642532	0.293006902	0.032556322	0.317424144
S004_A_1	0	0.109171389	0.793973739	0.188568763	0.476384244	0
S004_B_2	0.26799917	0.060515942	0.380385919	0.242063767	0.146967287	0.337160246
S004_A_2	0	0.153198008	0.757479042	0.170220009	0.468105026	0.127665007
S004_C_2	0.28753075	0.119804479	0.327465576	0.207661097	0.071882687	0.415322194
S009_C_1	0.653594771	0	0.597250394	0.428217264	0	0.75501465
S009_A_1	0.327007554	0	0.97012241	0.348808057	0	0.643114856
S009_B_1	0.174183515	0.858475894	0.111975117	0.447900467	0.559875583	0.049766719
S009_A_2	0.117200319	0.199240542	0.550841498	0.93760255	0.011720032	0.925882518
S009_C_2	0.676132522	0.310355912	0	0.809142198	0	0.487702147
S009_B_2	0.231098101	0.693294303	0.320969585	0	0.706133087	0
S011_C_1	0.604379001	0	0	0.604379001	0	0.961512046
S011_B_1	0.534835066	0.267417533	0	0.613487282	0.377530635	0
S011_A_1	0.241305891	0.014194464	0.837473385	0	0.056777857	0
S011_A_2	0.488302288	0.07180916	0.775538928	0	0.129256488	0
S011_B_2	0.739709338	0.159545151	0	0.21756157	0.942766803	0
S011_C_2	0.885474137	0	0	0.149849469	0	0.830983421
S013_B_1	0	0	0.166716064	0	1.000296384	0.240812092
S013_A_1	0	0.167744581	0.857361191	0	0.652340037	0
S013_C_1	0.275983883	0.18766904	0	0.132472264	0.320141304	0.585085831
S013_C_2	0.906995762	0	0	0	0	0.550144971
S013_A_2	0.276137474	0.106206721	0	0	0.87089511	0
S013_B_2	0	0.267073636	0	0.362457077	0.991987791	0
S008_A_1	0	0	1.001818114	0	0	0.173153748
S008_B_1	0	0	1.000403148	0	0.119451122	0
S008_C_1	0.18102572	0	0	0.557002214	0	0.543077159
S008_C_2	0.262961827	0	0	0.336006779	0	0.847321442
S008_B_2	0.16831668	0	0.856884917	0	0.076507582	0.229522746
S008_A_2	0	0.64186725	0	0	0.889861415	0
S010_A_1	0	0	1.002547011	0	0.216766921	0
S010_C_1	0.846057241	0	0.198294666	0	0	0.528785776
S010_B_1	0.104759577	0.349198589	0.756596943	0	0.337558636	0.11639953
S010_C_2	0.175365232	0.499116429	0	0.41817863	0.148385965	0.957763958
S010_A_2	0.619003405	0	0.080739575	0.336414894	0.174935745	0.417154468
S010_B_2	0	0	0.514724233	0	0.3899426	0.327551784
S015_A_1	0.616187092	0	0.057319729	0	0.917115671	0
S015_C_1	1.004229579	0	0	0.720682404	0	0.437135228
S015_B_1	0	0.335535526	0.566939337	0	0	1.006606579
S015_B_2	0	0.223769964	0.167827473	0	0.811166121	0
S015_C_2	0.998668442	0.332889481	0	0.704189286	0	0.24326539
S015_A_2	0.999470868	0.705508848	0	0	0	0.367452525
S016_C_1	0.604744058	0	0	0.111400221	0.421729409	0
S016_A_1	0.320907651	0.072463018	0.548648565	0	0	0.113870457
S016_B_1	0.284418865	0	0.510280905	0	0.066922086	0.184035736
S016_B_2	0.111957904	0.055978952	0.751717354	0.031987973	0.039984966	0
S016_A_2	0	0.144653767	0.042545226	0.093599496	0.697741699	0
S016_C_2	0.434822601	0.192325381	0.117067623	0.10870565	0.050171839	0.125429596
S012_B_1	0	0.298244617	0	0.482872238	0.497074362	0
S012_A_1	1.005479865	0	0.854657885	0	0	0.326780956
S012_C_1	1.006951212	0	0	0	0	0.941986617
S012_B_2	0	0.587155963	0	0	1.009174312	0
S012_C_2	0	0	0.839014158	0.664219542	0	0.716657927
S012_A_2	0	0	1.004621258	0	0	0
S014_C_1	0.934804092	0.227023851	0.721134585	0	0.040063033	0.894741059
S014_B_1	0.917395122	0.157267735	0.694599164	0.196584669	0.380063693	0.511120139
S014_A_1	0.682042538	0.071793951	0.879475904	0	0.538454635	0
S014_A_2	0.918764512	0.217162521	0.785126038	0.033409619	0.48443947	0.534553898
S014_B_2	0.741485277	0.148297055	0.757962728	0.032954901	0.955692135	0
S014_C_2	0.875644762	0.041045848	0.301002887	0.027363899	0.287320937	0.889326711
