evaluation	Cocoa	Dry Fruits	Fruity	Roasted	Spicy	Woody
S002_C_1	0.626655653	0	0	0	0	0.370296522
S002_B_1	0.050807845	0.067743793	0.643566033	0	0.237103275	0
S002_A_1	0.268173204	0.232416777	0	0.268173204	0.232416777	0
S002_B_2	0.541090051	0.196760018	0	0	0	0.262346691
S002_C_2	0.594546388	0	0	0	0	0.405372537
S002_A_2	0.082209799	0.082209799	0.822097994	0	0	0
S006_C_1	0.549313358	0.079900125	0.309612984	0.059925094	0	0
S006_A_1	0.585190772	0.104033915	0.221072069	0	0.091029676	0
S006_B_1	0.442759797	0.140387253	0.097191175	0.097191175	0.161985292	0.064794117
S006_C_2	0.597214349	0	0.121467325	0.091100494	0	0.192323265
S006_B_2	0.16993316	0.158604282	0.475812847	0	0.192590914	0
S006_A_2	0.212031616	0.30626789	0.223811151	0	0	0.259149753
S001_A_1	0.183000476	0.097600254	0.597801554	0	0.122000317	0
S001_C_1	0.214056895	0.044287633	0	0.051668906	0	0.69383959
S001_B_1	0.11258433	0.190527328	0	0.095263664	0.407035655	0.190527328
S001_C_2	0.413350408	0.113468739	0	0.06483928	0	0.413350408
S001_A_2	0.089982678	0.179965357	0.53989607	0.078734844	0.112478348	0
S001_B_2	0.177921045	0.282580483	0.041863775	0.167455101	0.334910202	0
S003_B_1	0.143489179	0	0.657658735	0	0.203276336	0
S003_A_1	0.103858337	0.051929169	0.532273978	0.090876045	0.129822922	0.090876045
S003_C_1	0.6914164	0.066911265	0.022303755	0.04460751	0.111518774	0.066911265
S003_A_2	0.393149372	0.086001425	0.098287343	0	0.135145097	0.294862029
S003_B_2	0.074498994	0	0.506593161	0.059599195	0.208597184	0.148997989
S003_C_2	0.456694606	0.134321943	0	0.161186331	0.214915109	0.040296583
S005_A_1	0	0.214408233	0.701699673	0	0.097458288	0
S005_B_1	0.179710666	0.035942133	0.557103064	0.071884266	0.161739599	0
S005_C_1	0.801109228	0	0	0.200277307	0	0
S005_A_2	0	0	0.892195812	0	0.101003299	0
S005_C_2	0.802527107	0	0	0	0	0.187825493
S005_B_2	0.066321793	0	0.862183313	0	0.066321793	0
S007_B_1	0.2256148	0.288285578	0.350956356	0	0.137875711	0
S007_C_1	0.518330544	0.21597106	0	0.10798553	0	0.161978295
S007_A_1	0.128707491	0.042902497	0.74364328	0	0.085804994	0
S007_B_2	0.342027779	0.118966184	0	0	0.5502186	0
S007_A_2	0.157282164	0.110097515	0	0.267379679	0.471846493	0
S007_C_2	0.64991876	0	0.124984377	0	0	0.224971879
S004_B_1	0.31496063	0	0.108267717	0.206692913	0.374015748	0
S004_C_1	0.528906061	0	0.170325681	0.080680586	0	0.224112738
S004_A_1	0	0	0.680694649	0.059560782	0.170173662	0.085086831
S004_B_2	0.076286795	0.043592454	0.18526793	0.294249065	0.403230201	0
S004_A_2	0.109717604	0.067518525	0.540148203	0	0.286953733	0
S004_C_2	0.175231784	0.167266703	0	0.095580973	0.127441297	0.430114379
S009_C_1	0.118986237	0.039662079	0.528827721	0.264413861	0	0.052882772
S009_A_1	0	0.079576652	0.437671587	0	0.490722689	0
S009_B_1	0.047793532	0.111518241	0.254898837	0.111518241	0.398279433	0.063724709
S009_A_2	0.352097799	0	0.295762151	0.042251736	0	0.309846063
S009_C_2	0.311425244	0	0.148942508	0.081241368	0.081241368	0.379126384
S009_B_2	0.183612016	0.501872843	0.097926408	0	0.146889612	0.073444806
S011_C_1	0.518773102	0	0	0	0	0.486349783
S011_B_1	0.217915791	0	0	0.062261655	0.716009028	0
S011_A_1	0.042396235	0	0.904453018	0.056528314	0	0
S011_A_2	0.111993231	0	0.721734153	0	0	0.174211692
S011_B_2	0.118436052	0	0	0.148045065	0.740225325	0
S011_C_2	0.473001568	0	0.074684458	0	0	0.448106749
S013_B_1	0	0	0.311623559	0	0.688852077	0
S013_A_1	0	0	0.815827045	0.152967571	0.033992794	0
S013_C_1	0.915455035	0	0	0	0	0.094238018
S013_C_2	0.589235346	0	0	0.096595958	0	0.309107067
S013_A_2	0	0	0.734502008	0	0.261156269	0
S013_B_2	0	0.129458217	0	0	0.873842967	0
S008_A_1	0.080337878	0	0	0	0.01147684	0.906670339
S008_B_1	0	0.075354165	0.138149302	0	0.552597207	0.226062494
S008_C_1	0.154116846	0	0	0.115587635	0	0.73205502
S008_C_2	0.15015015	0.212712713	0	0	0	0.638138138
S008_B_2	0	0	0	0	0.999147394	0
S008_A_2	0	0	0.864041474	0	0.128006144	0
S010_A_1	0	0	1.003921569	0	0	0
S010_C_1	0.226641736	0.113320868	0	0	0	0.6657601
S010_B_1	0.072138622	0	0.072138622	0	0.865663459	0
S010_C_2	0.567268602	0.121557558	0	0	0	0.310647091
S010_A_2	0	0	1.004728924	0	0	0
S010_B_2	0	0	0	0.254316691	0.68263954	0.066925445
S015_A_1	0.993854665	0	0	0	0	0
S015_C_1	0	0	0.552845528	0	0	0.455284553
S015_B_1	0	0	0	0	1.000209721	0
S015_B_2	0	0	0.258721056	0	0.733042991	0
S015_C_2	1.001058591	0	0	0	0	0
S015_A_2	0	0	1.00888965	0	0	0
S016_C_1	0.480980791	0.040934535	0.214906311	0	0	0.26607448
S016_A_1	0	0.079953399	0.765268244	0.091375313	0.068531485	0
S016_B_1	0	0.080631227	0.437712377	0	0.483787364	0
S016_B_2	0.022899802	0	0.457996038	0.068699406	0.446546137	0
S016_A_2	0.108234479	0.010823448	0.865875833	0	0.010823448	0
S016_C_2	0.171124287	0	0	0.050330673	0.040264538	0.734827819
S012_B_1	0.115178623	0	0.556696677	0.326339431	0	0
S012_A_1	0.378569009	0	0	0.099623423	0	0.518041802
S012_C_1	0.237328361	0	0	0	0	0.76284116
S012_B_2	0	0.212386373	0	0	0.785829581	0
S012_C_2	0.278958337	0	0	0.213321081	0	0.508688732
S012_A_2	0	0	1.007666166	0	0	0
S014_C_1	0.687072264	0	0.148192057	0	0	0.175136067
S014_B_1	0.113742998	0	0.156396622	0	0.72511161	0
S014_A_1	0	0	0.74757436	0	0.174964212	0.079529187
S014_A_2	0	0	0.727664343	0	0.130979582	0.145532869
S014_B_2	0	0.051907604	0	0.025953802	0.869452375	0.051907604
S014_C_2	0.256353099	0	0.055728934	0.033437361	0	0.657601427
